Policy Number,Insured Amount,Start Date,End Date,Latitude,Longitude,Country,ISO3
1,347,08/06/2017,31/08/2017,34.98300013,63.13329964,Afghanistan,AFG
2,2235,14/06/2017,09/09/2017,34.5167011,65.25000063,Afghanistan,AFG
3,4369,23/09/2016,21/08/2017,31.58299802,64.35999955,Afghanistan,AFG
4,3944,11/05/2017,19/09/2017,31.11200108,61.88699752,Afghanistan,AFG
5,1594,27/05/2017,15/01/2018,32.63329815,65.86669865,Afghanistan,AFG
6,2487,15/03/2017,27/02/2018,32.85000016,68.41670453,Afghanistan,AFG
7,4335,16/07/2017,16/03/2018,34.86600004,71.15000459,Afghanistan,AFG
8,3641,06/11/2016,30/03/2017,36.72999904,69.54000364,Afghanistan,AFG
9,217,21/09/2016,04/09/2017,35.01669608,69.33330065,Afghanistan,AFG
10,2350,21/12/2016,01/11/2017,34.65000001,70.16670052,Afghanistan,AFG
11,2724,12/03/2017,31/10/2017,33.9667021,68.96670354,Afghanistan,AFG
12,4687,18/11/2016,11/03/2017,36.26100015,68.04000051,Afghanistan,AFG
13,1876,06/01/2017,08/06/2017,34.45000209,68.79999663,Afghanistan,AFG
14,2325,12/01/2017,24/10/2017,34.48676963,62.59177608,Afghanistan,AFG
15,3177,28/04/2017,28/03/2018,36.65798077,65.73830237,Afghanistan,AFG
16,2775,02/10/2016,16/12/2016,35.95107302,68.70111894,Afghanistan,AFG
17,3089,11/12/2016,03/11/2017,36.75011985,66.89973018,Afghanistan,AFG
18,284,02/11/2016,22/03/2017,35.93022158,64.77009273,Afghanistan,AFG
19,4433,10/03/2017,11/02/2018,36.93165916,65.10149369,Afghanistan,AFG
20,158,02/01/2017,05/11/2017,32.11226341,66.8867594,Afghanistan,AFG
21,4497,19/02/2017,17/07/2017,33.56331179,68.41782873,Afghanistan,AFG
22,1602,03/12/2016,29/09/2017,37.12976076,70.57924719,Afghanistan,AFG
23,984,16/07/2017,06/04/2018,36.72795066,68.87252966,Afghanistan,AFG
